"id","date","vaccines","tests","confirmed","recovered","deaths","hosp","vent","icu","population","school_closing","workplace_closing","cancel_events","gatherings_restrictions","transport_closing","stay_home_restrictions","internal_movement_restrictions","international_movement_restrictions","information_campaigns","testing_policy","contact_tracing","stringency_index","iso_alpha_3","iso_alpha_2","iso_numeric","currency","administrative_area_level","administrative_area_level_1","administrative_area_level_2","administrative_area_level_3","latitude","longitude","key","key_apple_mobility","key_google_mobility"
"USA",2020-03-20,NA,315407,20030,147,367,1042,NA,NA,326687501,3,3,2,2,1,2,2,3,2,3,1,67.13,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-03-21,NA,390053,26025,176,466,1492,NA,NA,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-03-22,NA,462565,34855,178,576,2173,NA,NA,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-03-23,NA,539376,46086,178,763,2812,NA,NA,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-03-24,NA,640920,56698,348,1004,3938,NA,NA,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-03-25,NA,753048,68773,361,1330,5140,NA,NA,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-03-26,NA,880113,86613,681,1742,7805,NA,1299,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-03-27,NA,1012647,105293,869,2263,10887,NA,1792,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-03-28,NA,1131272,124900,1072,2898,12393,NA,2174,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-03-29,NA,1238772,143779,2665,3490,14055,NA,2456,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-03-30,NA,1358153,165861,5644,4187,15892,NA,3087,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-03-31,NA,1496888,192177,7024,5278,18155,NA,3487,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-04-01,NA,1646598,224418,8474,6539,20906,NA,3937,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-04-02,NA,1805364,256636,9001,8035,22995,NA,4513,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-04-03,NA,1971151,288906,9707,9442,25723,NA,4928,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-04-04,NA,2115962,321318,14652,10989,30456,NA,5500,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-04-05,NA,2253646,351203,17448,12570,32180,NA,5811,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-04-06,NA,2392267,382613,19581,14326,36159,NA,7079,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-04-07,NA,2567975,413382,21763,16900,43849,NA,9978,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-04-08,NA,2732177,444580,23559,19043,45359,NA,10276,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-04-09,NA,2902249,480534,25410,21249,51323,NA,12445,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-04-10,NA,3077170,514942,28790,23467,53167,NA,12693,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-04-11,NA,3288571,544119,31270,25599,55563,NA,13293,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-04-12,NA,3398679,571400,32988,27419,55294,NA,13597,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-04-13,NA,3511332,598310,43482,29381,56211,NA,13605,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-04-14,NA,3671692,627082,47763,31824,59610,NA,14047,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-04-15,NA,3842398,652513,52096,34422,59930,NA,14639,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-04-16,NA,4022425,682548,54703,36582,59496,NA,15136,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-04-17,NA,4216546,715267,58545,38673,58892,NA,14910,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-04-18,NA,4380290,743223,64840,40646,57799,NA,14764,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-04-19,NA,4513979,769416,70337,42584,56497,NA,14385,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-04-20,NA,4670032,799212,72329,44780,56721,NA,14463,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-04-21,NA,4895503,825046,75204,47318,59779,NA,14945,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-04-22,NA,5126016,853818,77366,49746,59207,NA,15016,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-04-23,NA,5353174,887386,80203,52202,59214,NA,14737,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-04-24,NA,5614699,919658,99079,54362,57370,NA,14623,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-04-25,NA,5829383,950100,100372,56068,57340,NA,14411,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-04-26,NA,5997752,976680,106988,57418,56161,NA,14093,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-04-27,NA,6221853,1000298,111424,58882,56183,NA,13812,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-04-28,NA,6487803,1024746,115936,61106,56034,NA,13562,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-04-29,NA,6778071,1051136,120720,63625,56009,NA,13550,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-04-30,NA,7095439,1080303,153947,66028,54905,NA,13246,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-05-01,NA,7426839,1115219,164015,67916,54897,NA,12861,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-05-02,NA,7690898,1142639,175382,69621,54008,NA,12904,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-05-03,NA,7903865,1167095,180152,70739,52623,NA,12724,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-05-04,NA,8150433,1191071,187180,72063,52375,NA,12701,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-05-05,NA,8466540,1215543,189791,74350,53164,NA,12620,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-05-06,NA,8820286,1240053,189910,76699,52609,NA,12480,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-05-07,NA,9179690,1267418,195036,78618,51445,NA,12135,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-05-08,NA,9574733,1294224,198993,80367,49770,NA,11786,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-05-09,NA,9898714,1319414,212534,81899,48581,NA,11504,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-05-10,NA,10139754,1338381,216169,82810,46735,NA,11382,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-05-11,NA,10454380,1357566,232733,83810,46550,NA,11153,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-05-12,NA,10867495,1380423,230287,85428,47343,NA,11241,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-05-13,NA,11312805,1400812,243430,87170,46921,NA,10991,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-05-14,NA,11759474,1427725,246414,88951,45923,NA,10655,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-05-15,NA,12203230,1452425,250747,90621,44553,NA,10476,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-05-16,NA,12562047,1476586,268376,91893,43515,NA,10276,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-05-17,NA,12862610,1495068,272265,92656,42019,NA,9945,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-05-18,NA,13210556,1517302,283178,93832,41940,NA,9748,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-05-19,NA,13636728,1538241,289392,95333,42023,NA,9598,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-05-20,NA,14092816,1560975,294312,96848,41856,NA,9522,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-05-21,NA,14548720,1586662,298418,98055,41359,NA,9092,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-05-22,NA,15033595,1610252,350135,99300,40008,NA,9042,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-05-23,NA,15417255,1631496,361239,100447,38625,NA,8739,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-05-24,NA,15759090,1651676,366736,101055,37742,NA,8491,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-05-25,NA,16093344,1670442,379157,101614,37703,NA,8467,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-05-26,NA,16549488,1689948,384902,102277,37751,NA,8580,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-05-27,NA,17102412,1708342,391508,103777,38300,NA,8552,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-05-28,NA,17636053,1730551,399991,104944,38000,NA,8392,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-05-29,NA,18173634,1755010,406446,106111,36942,NA,8170,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-05-30,NA,18626566,1778689,416461,107061,35759,NA,7960,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-05-31,NA,18998756,1797763,444758,107755,34925,NA,7625,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-06-01,NA,19435246,1815200,458231,108536,34325,NA,7592,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-06-02,NA,19957991,1836574,463868,109576,33956,NA,7410,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-06-03,NA,20545094,1856276,479258,110570,33227,NA,7229,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-06-04,NA,21165266,1877823,485002,111588,32802,NA,7044,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-06-05,NA,21739904,1903298,491706,112476,32502,NA,6921,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-06-06,NA,22206182,1924571,500849,113179,31994,NA,6762,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-06-07,NA,22611939,1942472,506367,113629,31490,NA,6501,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-06-08,NA,23061714,1959988,518522,114136,31105,NA,6398,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-06-09,NA,23621569,1978167,524855,115057,31179,NA,6453,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-06-10,NA,24249163,1999178,533504,115950,30961,NA,6256,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-06-11,NA,24858758,2022249,540292,116803,29850,NA,6075,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-06-12,NA,25473943,2046987,547386,117621,29306,NA,6009,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-06-13,NA,26003672,2072111,556606,118393,28578,NA,5883,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-06-14,NA,26416015,2091205,561816,118708,28020,NA,5749,326687501,3,3,2,4,1,2,2,3,2,3,1,72.69,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-06-15,NA,26920917,2110841,576334,119095,28034,NA,5700,326687501,3,2,2,4,1,2,2,3,2,3,1,68.98,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-06-16,NA,27593720,2134198,583503,119916,28370,NA,5570,326687501,3,2,2,4,1,2,2,3,2,3,1,68.98,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-06-17,NA,28298494,2160815,592191,120657,28647,NA,5608,326687501,3,2,2,4,1,2,2,3,2,3,1,68.98,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-06-18,NA,28999172,2188746,599115,121346,28538,NA,5472,326687501,3,2,2,4,1,2,2,3,2,3,1,68.98,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-06-19,NA,29702838,2219943,606715,122008,28693,NA,5337,326687501,3,2,2,4,1,2,2,3,2,3,1,68.98,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-06-20,NA,30286400,2252125,617460,122613,28084,NA,5229,326687501,3,2,2,4,1,2,2,3,2,3,1,68.98,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
"USA",2020-06-21,NA,30710003,2277398,622133,122912,28325,NA,5195,326687501,3,2,2,4,1,2,2,3,2,3,1,68.98,"USA","US",840,"USN",1,"United States",NA,NA,38,-97,NA,"United States","US"
